visit_id,species,visit_start,visit_end,duration_seconds,max_count_seen
21775447-f92f-41b4-9d2a-f442da8a3b1a,bird,2026-04-21 15:37:34,2026-04-21 15:37:48,13.84,1
c31c748c-8ab0-4ae1-85b3-966a851b7643,bird,2026-04-21 15:38:18,2026-04-21 15:38:22,3.89,1
07556157-0a30-49cb-b001-8b2a31476469,bird,2026-04-21 15:38:40,2026-04-21 15:38:40,0.51,1
5d15d580-050b-48e4-9842-304238559404,bird,2026-04-21 15:39:04,2026-04-21 15:39:05,0.42,1
2d63b4d0-33df-48a2-b83f-402bea14b5a9,antelope_like,2026-05-26 13:24:23,2026-05-26 13:25:10,46.99,1
316f1cdc-085b-42da-9de5-7344836cc31e,antelope_like,2026-05-26 13:26:03,2026-05-26 13:26:03,0.0,1
f47ba622-76f9-4877-a48d-69af295a01a9,elephant,2026-05-26 13:27:52,2026-05-26 13:27:53,0.36,1
82f58c04-d08f-4df1-a3bf-1ddcc3d4b6ca,antelope_like,2026-05-26 13:26:54,2026-05-26 13:28:48,113.65,3
00f6f976-e0fa-4bd2-8ff9-5d6719bbd3f4,antelope_like,2026-05-26 13:29:01,2026-05-26 13:29:15,14.33,2
447cfea1-7aab-4861-806a-09d254acba63,antelope_like,2026-05-26 13:29:31,2026-05-26 13:29:44,13.0,2
f1dfc08e-69e6-44c9-aa09-1ae41fac6673,antelope_like,2026-05-26 13:30:07,2026-05-26 13:30:17,9.82,1
d8d931fa-9213-4620-9354-2089c6931726,antelope_like,2026-05-26 13:30:41,2026-05-26 13:30:41,0.1,1
164fb33b-6219-4596-8936-862b2ce7bcfb,antelope_like,2026-05-26 13:30:59,2026-05-26 13:31:38,38.97,2
e991db21-d65e-4d38-ae44-4894ea7cfcb3,antelope_like,2026-05-26 13:31:58,2026-05-26 13:32:25,27.93,1
c973869f-4b45-4ae4-936c-2c179cd58d6d,antelope_like,2026-05-26 13:32:57,2026-05-26 13:33:10,13.44,1
c4c9bb91-e141-4a3a-99d2-03fa4c1259ff,antelope_like,2026-05-26 13:33:50,2026-05-26 13:33:50,0.09,1
a28902dd-7cb4-42a3-9626-811410624aff,antelope_like,2026-05-26 13:34:05,2026-05-26 13:34:18,13.06,1
90cffe57-1f30-4848-80b7-59567a034236,ungulate,2026-05-26 13:50:38,2026-05-26 13:50:43,4.67,1
a275f16b-2a18-49b7-8f07-d8de6d95b166,antelope_like,2026-05-26 13:48:38,2026-05-26 13:52:09,211.01,5
bbb8ca31-d39b-471b-ac94-4293343e6efe,ungulate,2026-05-26 13:52:15,2026-05-26 13:52:21,6.33,1
